nbr_step;distortion
1;0.003261556890438999
2;0.0031875497791080676
3;0.0031190346040824157
4;0.0030554362462497098
5;0.002996252185454462
6;0.00294104194879502
7;0.002889418289358847
8;0.0028410397799652487
9;0.0027956045695494702
10;0.002752845099215473
11;0.002712523613885076
12;0.0026744283362882815
13;0.0026383701945600913
14;0.002604180014332491
15;0.0025717061019827625
16;0.0025408121584326593
17;0.002511375473227051
18;0.002483285357028242
19;0.0024564417775443936
20;0.002430754169561178
21;0.002406140394393741
22;0.0023825258279317474
23;0.002359842559643499
24;0.0023380286875612777
25;0.0023170276964994407
26;0.0022967879086140397
27;0.002277261996983415
28;0.002258406554203396
29;0.002240181709115052
30;0.002222550785721422
31;0.0022054799991606533
32;0.002188938184283007
33;0.0021728965529712596
34;0.002157328476839304
35;0.002142209292381403
36;0.0021275161260066455
37;0.0021132277367237884
38;0.0020993243745049406
39;0.002085787652609694
40;0.0020726004323435854
41;0.0020597467189208962
42;0.0020472115672436897
43;0.0020349809965610755
44;0.002023041913076229
45;0.0020113820396889803
46;0.001999989852144446
47;0.00198885452093861
48;0.0019779658584103688
49;0.0019673142705040614
50;0.001956890712744852
51;0.0019466866500200686
52;0.0019366940197993454
53;0.0019269051984662222
54;0.0019173129704696534
55;0.0019079105000292529
56;0.0018986913051600163
57;0.001889649233801749
58;0.001880778441865516
59;0.0018720733730188677
60;0.0018635287400610157
61;0.001855139507740522
62;0.001846900876895874
63;0.0018388082697982644
64;0.0018308573165961572
65;0.0018230438427669915
66;0.0018153638574895936
67;0.0018078135428633013
68;0.0018003892438970825
69;0.0017930874592143597
70;0.0017859048324060378
71;0.0017788381439856615
72;0.0017718843038949106
73;0.001765040344516966
74;0.001758303414159168
75;0.0017516707709650525
76;0.0017451397772254018
77;0.0017387078940572231
78;0.0017323726764207903
79;0.0017261317684540423
80;0.0017199828990940302
81;0.0017139238779705912
82;0.0017079525915482674
83;0.0017020669995017612
84;0.0016962651313037758
85;0.0016905450830155266
86;0.0016849050142616617
87;0.0016793431453784313
88;0.001673857754724617
89;0.0016684471761395647
90;0.001663109796544382
91;0.0016578440536719752
92;0.001652648433920989
93;0.0016475214703224328
94;0.001642461740613499
95;0.0016374678654131891
96;0.0016325385064890896
97;0.0016276723651134084
98;0.0016228681805023348
99;0.0016181247283317268
100;0.001613440819325962
101;0.0016088152979133463
102;0.001604247040951634
103;0.001599734956507004
104;0.001595277982695098
105;0.001590875086574517
106;0.001586525263090055
107;0.0015822275340664493
108;0.0015779809472450945
109;0.0015737845753652224
110;0.0015696375152847164
111;0.0015655388871395615
112;0.00156148783354082
113;0.0015574835188031932
114;0.0015535251282105533
115;0.001549611867307732
116;0.0015457429612261708
117;0.0015419176540342194
118;0.0015381352081153543
119;0.0015343949035725446
120;0.0015306960376541556
121;0.0015270379242063314
122;0.0015234198931434184
123;0.0015198412899423142
124;0.0015163014751535808
125;0.0015127998239337637
126;0.0015093357255966389
127;0.0015059085831768404
128;0.0015025178130160244
129;0.0014991628443598026
130;0.0014958431189718846
131;0.0014925580907639846
132;0.0014893072254357764
133;0.001486090000129947
134;0.0014829059031012948
135;0.0014797544333948198
136;0.0014766351005374156
137;0.001473547424239774
138;0.0014704909341089478
139;0.0014674651693710183
140;0.0014644696786048628
141;0.0014615040194815299
142;0.0014585677585163825
143;0.001455660470828568
144;0.001452781739908371
145;0.0014499311573916152
146;0.001447108322844115
147;0.0014443128435512875
148;0.0014415443343147594
149;0.0014388024172576341
150;0.001436086721634644
151;0.0014333968836481858
152;0.0014307325462715736
153;0.0014280933590779532
154;0.0014254789780737687
155;0.0014228890655370585
156;0.0014203232898647444
157;0.001417781325419032
158;0.0014152628523838584
159;0.0014127675566226738
160;0.0014102951295407729
161;0.0014078452679548437
162;0.0014054176739629054
163;0.0014030120548197966
164;0.0014006281228173267
